CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG0088	HuCL04726C001	HaT13l036136	AT4G01370	AT4G01370	MPK4	MPK4	Encodes a nuclear and cytoplasmically localized MAP kinase involved in mediating responses to pathogens. Its substrates include MKS1 and probably MAP65-1.The MAP65-1 interaction is involved in mediating cortical microtuble organization.	Encodes a nuclear and cytoplasmically localized  MAP kinase involved in mediating responses to pathogens.  Its substrates include MKS1 and probably MAP65-1.The MAP65-1 interaction is involved in mediating cortical microtuble organization.  protein_coding  MAP KINASE 4 (MPK4)     MAP KINASE 4 (ATMPK4);MAP KINASE 4 (MPK4)				
CG0098	HuCL06464C001	HaT13l004711	AT3G15210	AT3G15210	ERF4	ERF4	Encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-4). The protein contains one AP2 domain. Acts as a negative regulator of JA-responsive defense gene expression and resistance to the necrotrophic fungal pathogen Fusarium oxysporum and antagonizes JA inhibition of root elongation.	Encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-4). The protein contains one AP2 domain. Acts as a negative regulator of JA-responsive defense gene expression and resistance to the necrotrophic fungal pathogen Fusarium oxysporum and antagonizes JA inhibition of root elongation.				
CG0120	HuCL14008C001	HaT13l018890	AT1G09700	AT1G09700	HYL1	HYL1	"Encodes a nuclear dsRNA binding protein. Involved in mRNA cleavage. The mutant is characterized by shorter stature, delayed flowering, leaf hyponasty, reduced fertility, decreased rate of root growth, and an altered root gravitropic response. It also exhibits less sensitivity to auxin and cytokinin."	"Encodes a nuclear dsRNA binding protein. Involved in mRNA cleavage. The mutant is characterized by shorter stature, delayed flowering, leaf hyponasty, reduced fertility, decreased rate of root growth, and an altered root gravitropic response. It also exhibits less sensitivity to auxin and cytokinin.    protein_coding  HYPONASTIC LEAVES 1 (HYL1)      HYPONASTIC LEAVES 1 (HYL1);DSRNA-BINDING PROTEIN 1 (DRB1)"				
CG0121	HuCL14076C001	HaT13l065650	AT1G52920	AT1G52920	GCR2	GCR2	"Encodes a plasma membrane–localized ABA receptor, which interacts with the G??? complex. It has been postulated that the binding of ABA to GCR2 results in the release of the G protein and dissociation of the heterotrimeric complex into G? and the G?? dimer to activate downstream ABA effectors and to trigger the ABA responses."	"Encodes a plasma membrane–localized ABA receptor, which interacts with the G??? complex. It has been postulated that the binding of ABA to GCR2 results in the release of the G protein and dissociation of the heterotrimeric complex into G? and the G?? dimer to activate downstream ABA effectors and to trigger the ABA responses."				
CG0127	HuCL16951C001	HaT13l025985	AT1G16540	AT1G16540	ABA3	ABA3	"Encodes molybdenum cofactor sulfurase. Involved in Moco biosynthesis. Involved in the conversion of ABA-aldehyde to ABA, the last step of abscisic acid (ABA) biosynthesis. sir loss-of-function mutants are resistant to sirtinol, a modulator of auxin signaling.N terminal domain is similar to bacterial NifS suggesting a common mechanism for sulphur mobilization and transfer. Also involved in protein import into chloroplasts."	"Encodes molybdenum cofactor sulfurase. Involved in Moco biosynthesis. Involved in the conversion of ABA-aldehyde to ABA, the last step of abscisic acid (ABA) biosynthesis. sir loss-of-function mutants are resistant to sirtinol, a modulator of auxin signaling.N terminal domain is similar to bacterial NifS suggesting a common mechanism for sulphur mobilization and transfer. Also involved in protein import into chloroplasts."				
CG0144	HuCL12075C001	HaT13l025713	AT1G52340	AT1G52340	ABA2	ABA2	Encodes a cytosolic short-chain dehydrogenase/reductase involved in the conversion of xanthoxin to ABA-aldehyde during ABA biosynthesis. Mutants are insensitive to sucrose and glucose.	Encodes a cytosolic short-chain dehydrogenase/reductase involved in the conversion of xanthoxin to ABA-aldehyde during ABA biosynthesis.  Mutants are insensitive to sucrose and glucose.       protein_coding  ABA DEFICIENT 2 (ABA2)  ABA DEFICIENT 2 (ABA2);SUGAR-INSENSITIVE 4 (SIS4);GLUCOSE INSENSITIVE 1 (GIN1);SHORT-CHAIN DEHYDROGENASE REDUCTASE 1 (SDR1);IMPAIRED SUCROSE INDUCTION 4 (ISI4);SALT RESISTANT 1 (SRE1);ARABIDOPSIS THALIANA ABA DEFICIENT 2 (ATABA2);SHORT-CHAIN DEHYDROGENASE/REDUCTASE 1 (ATSDR1)				
CG0146	HuCL00462C001	HaT13l003873	AT4G30960	AT4G30960	CIPK6	CIPK6	Encodes CBL-interacting protein kinase 6 (CIPK6). Required for development and salt tolerance.	Encodes CBL-interacting protein kinase 6 (CIPK6). Required for development and salt tolerance.  protein_coding  SOS3-INTERACTING PROTEIN 3 (SIP3)       CBL-INTERACTING PROTEIN KINASE 6 (CIPK6);SOS3-INTERACTING PROTEIN 3 (SIP3);SNF1-RELATED PROTEIN KINASE 3.14 (SNRK3.14);CBL-INTERACTING PROTEIN KINASE 6 (ATCIPK6)				
CG0149	HuCL00001C330	HaT13l200987	AT1G20440	AT1G20440	COR47	COR47	"Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. Cold regulated gene, amino acid sequence homology with Group II LEA (late embryogenesis abundant) proteins. Also responds to osmotic stress, ABA, dehydration and inhibits e.coli growth while overexpressed. COR47 and RAB18 double overexpressor plants are cold tolerant."	"Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. Cold regulated gene, amino acid sequence homology with Group II LEA (late  embryogenesis abundant) proteins. Also responds to osmotic stress, ABA, dehydration and inhibits e.coli growth while overexpressed. COR47 and RAB18 double overexpressor plants are cold tolerant.   protein_coding  COLD-REGULATED 47 (COR47)       COLD-REGULATED 47 (COR47); (RD17); (AtCOR47)"				
CG0152	HuCL00001C784	HaT13l006634	AT3G57240	AT3G57240	BG3	BG3	"encodes a member of glycosyl hydrolase family 17        protein_coding  ""BETA-1,3-GLUCANASE 3"" (BG3)    ""BETA-1,3-GLUCANASE 3"" (BG3)"	"encodes a member of glycosyl hydrolase family 17        protein_coding  ""BETA-1,3-GLUCANASE 3"" (BG3)    ""BETA-1,3-GLUCANASE 3"" (BG3)"				
CG0153	HuCL00038C002	HaT13l005141	AT1G72770	AT1G72770	HAB1	HAB1	mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid.	mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid.        protein_coding  HYPERSENSITIVE TO ABA1 (HAB1)   HYPERSENSITIVE TO ABA1 (HAB1)				
CG0506	HuCL00470C003	HaT13l000328	AT4G29010	AT4G29010	AIM1	AIM1	"Functions in beta-oxidation of fatty acids, similar to CuMFP with L-3-hydroxyacyl-CoA hydrolyase , L-3-hydroxyacyl-dehydrogenase, D-3-hydroxyacyl-CoA epimerase, and 3, 2-enoyl-CoA isomerase activities"	"Functions in beta-oxidation of fatty acids, similar to CuMFP with L-3-hydroxyacyl-CoA hydrolyase , L-3-hydroxyacyl-dehydrogenase, D-3-hydroxyacyl-CoA epimerase, and 3, 2-enoyl-CoA isomerase activities        protein_coding  ABNORMAL INFLORESCENCE MERISTEM (AIM1)  ABNORMAL INFLORESCENCE MERISTEM (AIM1)"				
CG0598	HuCL04639C001	HaT13l001563	AT3G28860	AT3G28860	ABCB19	ABCB19	"Belongs to the family of ATP-binding cassette (ABC) transporters. Also known as AtMDR11 and PGP19. Possibly regulates auxin-dependent responses by influencing basipetal auxin transport in the root. Acts upstream of phyA in regulating hypocotyl elongation and gravitropic response. Exerts nonredundant, partially overlapping functions with the ABC transporter encoded by AtPGP1."	"Belongs to the family of ATP-binding cassette (ABC) transporters. Also known as AtMDR11 and PGP19. Possibly regulates auxin-dependent responses by influencing basipetal auxin transport in the root. Acts upstream of phyA in regulating hypocotyl elongation and gravitropic response. Exerts nonredundant, partially overlapping functions with the ABC transporter encoded by AtPGP1."				
CG0777	HuCL12124C001	HaT13l003188	AT1G70940	AT1G70940	PIN3	PIN3	"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to the plasma membrane."	"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane. protein_coding  PIN-FORMED 3 (PIN3)     PIN-FORMED 3 (PIN3);ARABIDOPSIS PIN-FORMED 3 (ATPIN3)"				
CG1131	HuDY904765	HaT13l003748	AT4G21670	AT4G21670	CPL1	CPL1	"encodes a a novel transcriptional repressor harboring two double-stranded RNA-binding domains and a region homologous to the catalytic domain of RNA polymerase II C-terminal domain phosphatases found in yeast and in animals that regulate gene transcription. Protein exhibits innate phosphatase activity in vitro. Mutants exhibit hyperresponsiveness to ABA, cold, and NaCl."	"encodes a a novel transcriptional repressor harboring two double-stranded RNA-binding domains and a region homologous to the catalytic domain of RNA polymerase II C-terminal domain phosphatases found in yeast and in animals that regulate gene transcription. Protein exhibits innate phosphatase activity in vitro. Mutants exhibit hyperresponsiveness to ABA, cold, and NaCl.    protein_coding  C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1 (CPL1)     C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1 (CPL1);FIERY 2 (FRY2);C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1 (ATCPL1); (ATCPL2)"				
CG1187	HuCL01497C002	HaT13l000170	AT1G52570	AT1G52570	PLDALPHA2	PLDALPHA2	member of C2-PLD subfamily	member of C2-PLD subfamily      protein_coding  PHOSPHOLIPASE D ALPHA 2 (PLDALPHA2)     PHOSPHOLIPASE D ALPHA 2 (PLDALPHA2)				
CG1189	HuCL01414C001	HaT13l030038	AT4G15560	AT4G15560	CLA1	CLA1	Encodes a protein with 1-deoxyxylulose 5-phosphate synthase activity involved in the MEP pathway. It is essential for chloroplast development in Arabidopsis	Encodes a protein with 1-deoxyxylulose 5-phosphate synthase activity involved in the MEP pathway. It is essential for chloroplast development in Arabidopsis    protein_coding  CLOROPLASTOS ALTERADOS 1 (CLA1) CLOROPLASTOS ALTERADOS 1 (CLA1); (DEF); (CLA);1-DEOXY-D-XYLULOSE 5-PHOSPHATE SYNTHASE (DXS);1-DEOXY-D-XYLULOSE 5-PHOSPHATE SYNTHASE 2 (DXPS2)				
CG1191	HuCL01176C002	HaT13l001574	AT5G45820	AT5G45820	CIPK20	CIPK20	Encodes a CBL-interacting serine/threonine protein kinase comprised of an N-terminal kinase catalytic domain similar to SNF1/AMPK and a unique C-terminal regulatory domain.    protein_coding  CBL-INTERACTING PROTEIN KINASE 20 (CIPK20)      CBL-INTERACTING PROTEIN KINASE 20 (CIPK20);SNF1-RELATED PROTEIN KINASE 3.6 (SnRK3.6);PROTEIN KINASE 18 (PKS18)	Encodes a CBL-interacting serine/threonine protein kinase comprised of an N-terminal kinase catalytic domain similar to SNF1/AMPK and a unique C-terminal regulatory domain.    protein_coding  CBL-INTERACTING PROTEIN KINASE 20 (CIPK20)      CBL-INTERACTING PROTEIN KINASE 20 (CIPK20);SNF1-RELATED PROTEIN KINASE 3.6 (SnRK3.6);PROTEIN KINASE 18 (PKS18)				
CG1192	HuCL01083C001	HaT13l000707	AT5G19330	AT5G19330	ARIA	ARIA	"Encodes an armadillo repeat protein involved in the abscisic acid response. The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements."	"Encodes an armadillo repeat protein involved in the abscisic acid response. The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements."				
CG1195	HuCL01062C001	HaT13l001147	AT5G47750	AT5G47750	D6PKL2	D6PKL2	"D6 protein kinase like 2 (D6PKL2); FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: nucleolus, nucleus, cytoplasm; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: D6 protein kinase like 1 (TAIR:AT4G26610.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	"D6 protein kinase like 2 (D6PKL2); FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: nucleolus, nucleus, cytoplasm; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: D6 protein kinase like 1 (TAIR:AT4G26610.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).  protein_coding  D6 PROTEIN KINASE LIKE 2 (D6PKL2)       D6 PROTEIN KINASE LIKE 2 (D6PKL2); (PK5)"				
CG1198	HuCL00723C002	HaT13l200387	AT3G62980	AT3G62980	TIR1	TIR1	"Encodes an auxin receptor that mediates auxin-regulated transcription. It contains leucine-rich repeats and an F-box and interacts with ASK1, ASK2 and AtCUL1 to form SCF-TIR1, an SCF ubiquitin ligase complex. Related to yeast Grr1p and human SKP2 proteins, involved in ubiquitin-mediated processes. Required for normal response to auxin and repressed in response to flagellin. As part of the SCF complex and in the presence of auxin, TIR1 interacts with Aux/IAA transcriptional repressor proteins and mediates their degradation."	"Encodes an auxin receptor that mediates auxin-regulated transcription.  It contains leucine-rich repeats and an F-box and interacts with ASK1, ASK2 and AtCUL1 to form SCF-TIR1, an SCF ubiquitin ligase complex. Related to yeast Grr1p and human SKP2 proteins, involved in ubiquitin-mediated processes. Required for normal response to auxin and repressed in response to flagellin.    As part of the SCF complex and in the presence of auxin, TIR1 interacts with Aux/IAA transcriptional repressor proteins and mediates their degradation.    protein_coding  TRANSPORT INHIBITOR RESPONSE 1 (TIR1)   TRANSPORT INHIBITOR RESPONSE 1 (TIR1); (AtTIR1)"				
CG1270	HuCL02305C001	HaT13l013400	AT2G21130	AT2G21130	HuCL02305C001	HaT13l013400	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, conserved site (InterPro:IPR020892); BEST Arabidopsis thaliana protein match is: rotamase CYP 1 (TAIR:AT4G38740.1); Has 16606 Blast hits to 16571 proteins in 2692 species: Archae - 108; Bacteria - 6886; Metazoa - 2917; Fungi - 1384; Plants - 1286; Viruses - 4; Other Eukaryotes - 4021 (source: NCBI BLink)."	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, conserved site (InterPro:IPR020892); BEST Arabidopsis thaliana protein match is: rotamase CYP 1 (TAIR:AT4G38740.1); Has 16606 Blast hits to 16571 proteins in 2692 species: Archae - 108; Bacteria - 6886; Metazoa - 2917; Fungi - 1384; Plants - 1286; Viruses - 4; Other Eukaryotes - 4021 (source: NCBI BLink)."				
CG1275	HuCL01216C001	HaT13l013333	AT3G12120	AT3G12120	FAD2	FAD2	"Major enzyme responsible for the synthesis of 18:2 fatty acids in the endoplasmic reticulum. Contains His-rich motifs, which contribute to the interaction with the electron donor cytochrome b5.  Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.       protein_coding  FATTY ACID DESATURASE 2 (FAD2)  FATTY ACID DESATURASE 2 (FAD2)"	"Major enzyme responsible for the synthesis of 18:2 fatty acids in the endoplasmic reticulum. Contains His-rich motifs, which contribute to the interaction with the electron donor cytochrome b5.  Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.       protein_coding  FATTY ACID DESATURASE 2 (FAD2)  FATTY ACID DESATURASE 2 (FAD2)"				
CG1288	HuCL00113C001	HaT13l002348	AT3G48170	AT3G48170	ALDH10A9	ALDH10A9	 aldehyde dehydrogenase 10A9 	"ALDH10A9 encodes a protein that can function as a betaine aldehyde dehydrogenase in vitro. The C-terminal amino acids of this protein direct GFP to the peroxisome suggesting that ALDH10A9 accumulates in this organelle. ALDH10A9 transcript levels rise in response to ABA, NaCl, chilling, methyl viologen, and dehydration stress. The enzyme can catalyze the formation of glycine betaine in vitro, but there are still questions about whether Arabidopsis makes this protective compound under natural conditions. This enzyme may be involved in oxidizing aminoaldehydes formed through polyamine metabolism.        protein_coding  ALDEHYDE DEHYDROGENASE 10A9 (ALDH10A9)  ALDEHYDE DEHYDROGENASE 10A9 (ALDH10A9)"				
CG1293	HuCL00001C213	HaT13l001546	AT2G43330	AT2G43330	INT1	INT1	"Encodes a tonoplast-localized myo-inositol exporter, involved in efflux of myo-inositol from the vacuole to the cytosol. The gene is ubiquitously expressed. Reduced root growth in knock-out mutants grown on low inositol agar medium."	"Encodes a tonoplast-localized myo-inositol exporter, involved in efflux of myo-inositol from the vacuole to the cytosol. The gene is ubiquitously expressed. Reduced root growth in knock-out mutants grown on low inositol agar medium.        protein_coding  INOSITOL TRANSPORTER 1 (INT1)   INOSITOL TRANSPORTER 1 (ATINT1);INOSITOL TRANSPORTER 1 (INT1)"				
CG1357	HuCL01845C001	HaT13l002940	AT3G19820	AT3G19820	DWF1	DWF1	Involved in the conversion of the early brassinosteroid precursor 24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype. DWF1 is a Ca2+-dependent calmodulin-binding protein.	Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein.     protein_coding  DWARF 1 (DWF1)  DWARF 1 (DWF1)				
CG1368	HuCL11961C001	HaT13l006682	AT3G63010	AT3G63010	ATGID1B	ATGID1B	"Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4.      protein_coding  GA INSENSITIVE DWARF1B (GID1B)   (ATGID1B);GA INSENSITIVE DWARF1B (GID1B)"	"Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4.      protein_coding  GA INSENSITIVE DWARF1B (GID1B)   (ATGID1B);GA INSENSITIVE DWARF1B (GID1B)"				
CG1372	HuCL00392C001	HaT13l024540	AT1G07040	AT1G07040	HuCL00392C001	HaT13l024540	unknown protein	unknown protein				
CG1380	HuCL15046C001	HaT13l030730	AT3G27170	AT3G27170	CLC-B	CLC-B	 chloride channel B	 chloride channel B				
CG1383	HuCL00497C003	HaT13l007624	AT3G14660	AT3G14660	CYP72A13	CYP72A13	putative cytochrome P450	putative cytochrome P450				
CG1385	HuCL02595C001	HaT13l003628	AT2G39890	AT2G39890	PROT1	PROT1	"Encodes a proline transporter with affinity for gly betaine, proline and GABA.  Protein is expressed in the vascular tissue, specifically the phloem.   protein_coding  PROLINE TRANSPORTER 1 (PROT1)   PROLINE TRANSPORTER 1 (PROT1);PROLINE TRANSPORTER 1 (ATPROT1)"	"Encodes a proline transporter with affinity for gly betaine, proline and GABA.  Protein is expressed in the vascular tissue, specifically the phloem.   protein_coding  PROLINE TRANSPORTER 1 (PROT1)   PROLINE TRANSPORTER 1 (PROT1);PROLINE TRANSPORTER 1 (ATPROT1)"				
CG1387	HuCL11429C001	HaT13l002636	AT2G46270	AT2G46270	GBF3	GBF3	"encodes a bZIP G-box binding protein whose expression is induced by ABA. It has been shown to bind to Adh that contains the G-box and is induced by cold and water deprivation. GBF3 has been shown to be expressed mostly in the root and dark-grown leaves. GBF3 can act as homodimers and as heterodimers with GFB1, GBF2 and GBF4. In addition, GBF3¡¯s DNA binding activity is enhanced by GIP1, GPRI1 and GPRI2."	"encodes a bZIP G-box binding protein whose expression is induced by ABA. It has been shown to bind to Adh that contains the G-box and is induced by cold and water deprivation. GBF3 has been shown to be expressed mostly in the root and dark-grown leaves. GBF3 can act as homodimers and as heterodimers with GFB1, GBF2 and GBF4. In addition, GBF3¡¯s DNA binding activity is enhanced by GIP1, GPRI1 and GPRI2."				
CG1394	HuCL00001C223	HaT13l201103	AT3G12580	AT3G12580	HSP70	HSP70	 heat shock protein 70 	"heat shock protein 70 (HSP70); FUNCTIONS IN: ATP binding; INVOLVED IN: in 9 processes; LOCATED IN: cytosol, mitochondrion, cell wall, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: heat shock cognate protein 70-1 (TAIR:AT5G02500.1); Has 34126 Blast hits to 33731 proteins in 4830 species: Archae - 159; Bacteria - 16481; Metazoa - 3906; Fungi - 1752; Plants - 1258; Viruses - 310; Other Eukaryotes - 10260 (source: NCBI BLink).     protein_coding  HEAT SHOCK PROTEIN 70 (HSP70)   HEAT SHOCK PROTEIN 70 (HSP70);ARABIDOPSIS HEAT SHOCK PROTEIN 70 (ATHSP70)"				
CG1400	HuCL08712C001	HaT13l009670	AT5G16370	AT5G16370	AAE5	AAE5	"acyl activating enzyme 5 (AAE5); FUNCTIONS IN: catalytic activity; INVOLVED IN: metabolic process; LOCATED IN: peroxisome; EXPRESSED IN: leaf; CONTAINS InterPro DOMAIN/s: AMP-binding, conserved site (InterPro:IPR020845), AMP-dependent synthetase/ligase (InterPro:IPR000873); BEST Arabidopsis thaliana protein match is: AMP-dependent synthetase and ligase family protein (TAIR:AT5G16340.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).        protein_coding  ACYL ACTIVATING ENZYME 5 (AAE5) ACYL ACTIVATING ENZYME 5 (AAE5)"	"acyl activating enzyme 5 (AAE5); FUNCTIONS IN: catalytic activity; INVOLVED IN: metabolic process; LOCATED IN: peroxisome; EXPRESSED IN: leaf; CONTAINS InterPro DOMAIN/s: AMP-binding, conserved site (InterPro:IPR020845), AMP-dependent synthetase/ligase (InterPro:IPR000873); BEST Arabidopsis thaliana protein match is: AMP-dependent synthetase and ligase family protein (TAIR:AT5G16340.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).        protein_coding  ACYL ACTIVATING ENZYME 5 (AAE5) ACYL ACTIVATING ENZYME 5 (AAE5)"				
CG1406	HuCL00916C001	HaT13l005200	AT5G65020	AT5G65020	ANNAT2	ANNAT2	"Annexins are calcium binding proteins that are localized in the cytoplasm. When cytosolic Ca2+ increases, they relocate to the plasma membrane. They may be involved in the Golgi-mediated secretion of polysaccharides."	"Annexins are calcium binding proteins that are localized in the cytoplasm. When cytosolic Ca2+ increases, they relocate to the plasma membrane.  They may be involved in the Golgi-mediated secretion of polysaccharides.       protein_coding  ANNEXIN 2 (ANNAT2)      ANNEXIN 2 (ANNAT2)"				
CG1415	HuCL06582C001	HaT13l021025	AT3G51420	AT3G51420	SSL4	SSL4	"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.      protein_coding  STRICTOSIDINE SYNTHASE-LIKE 4 (SSL4)    STRICTOSIDINE SYNTHASE-LIKE 4 (SSL4);STRICTOSIDINE SYNTHASE-LIKE 4 (ATSSL4)"	"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.      protein_coding  STRICTOSIDINE SYNTHASE-LIKE 4 (SSL4)    STRICTOSIDINE SYNTHASE-LIKE 4 (SSL4);STRICTOSIDINE SYNTHASE-LIKE 4 (ATSSL4)"				
CG1416	HuCL00894C002	HaT13l004209	AT4G15130	AT4G15130	CCT2	CCT2	 phosphorylcholine cytidylyltransferase2	"phosphorylcholine cytidylyltransferase2 (CCT2); CONTAINS InterPro DOMAIN/s: Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729), Cytidyltransferase-related (InterPro:IPR004821), Cytidylyltransferase (InterPro:IPR004820); BEST Arabidopsis thaliana protein match is: phosphorylcholine cytidylyltransferase (TAIR:AT2G32260.1); Has 2568 Blast hits to 2194 proteins in 660 species: Archae - 25; Bacteria - 876; Metazoa - 531; Fungi - 328; Plants - 264; Viruses - 0; Other Eukaryotes - 544 (source: NCBI BLink). protein_coding  PHOSPHORYLCHOLINE CYTIDYLYLTRANSFERASE2 (CCT2)   (ATCCT2);PHOSPHORYLCHOLINE CYTIDYLYLTRANSFERASE2 (CCT2)"				
CG1425	HuCL00503C001	HaT13l002722	AT2G28470	AT2G28470	BGAL8	BGAL8	putative beta-galactosidase (BGAL8 gene)	putative beta-galactosidase (BGAL8 gene)        protein_coding  BETA-GALACTOSIDASE 8 (BGAL8)    BETA-GALACTOSIDASE 8 (BGAL8)				
CG1428	HuCL02299C001	HaT13l009204	AT5G02790	AT5G02790	GSTL3	GSTL3	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.    protein_coding  GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)        GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.    protein_coding  GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)        GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)				
